"","V1"
"7496",4
"7508",5
"7511",6
"7535",8
"7558",1
"7579",4
"7598",3
"7611",4
"7622",7
"7638",1
"7651",3
"7668",3
"7684",5
"7714",2
"7724",0
"7725",5
"7752",8
"7757",8
"7774",8
"7796",4
"7822",2
"7823",0
"7833",4
"7837",2
"7865",6
"7872",5
"7883",6
"7893",6
"7895",4
"7909",2
"7948",4
"7999",8
"8010",4
"8021",8
"8087",4
"8106",8
"8222",2
"8243",0
"8248",1
"8283",8
"8312",1
"8324",6
"8355",8
"8356",8
"8376",1
"8380",8
"8388",8
"8393",4
"8413",0
"8416",8
"8423",8
"8426",2
"8477",8
"8520",2
"8522",8
"8529",2
"8553",1
"8557",0
"8574",1
"8582",0
"8597",4
"8634",3
"8694",8
"8764",2
"8769",6
"8781",7
"8815",3
"8824",7
"8849",3
"8852",4
"8859",3
"8890",1
"8950",8
"8955",7
"8957",1
"8969",2
"8971",1
"9012",7
"9025",7
"9037",5
"9042",4
"9058",8
"9073",3
"9076",4
"9077",3
"9113",2
"9132",3
"9150",5
"9191",0
"9242",5
"9246",6
"9259",4
"9288",5
"9324",8
"9326",6
"9366",6
"9428",2
"9434",1
"9467",0
"9473",1
"9493",0
"9503",0
"9510",5
"9512",2
"9532",4
"9570",5
"9593",6
"9693",3
"9695",0
"9702",2
"9745",6
"9758",4
"9770",0
"9777",3
"9780",8
"9795",0
"9827",4
"9889",8
"9896",0
"9911",2
"9918",6
"9948",4
"9954",6
"9993",5
"10064",1
"10093",3
"10111",4
"10146",1
"10155",3
"10166",8
"10179",5
"10192",5
"10238",6
"10296",6
"10302",7
"10320",1
"10322",4
"10358",0
"10377",3
"10394",4
"10400",3
"10409",6
"10423",5
"10440",0
"10452",2
"10473",6
"10498",2
"10504",1
"10521",3
"10531",4
"10567",7
"10577",3
"10600",8
"10619",0
"10620",5
"10638",1
"10670",0
"10671",2
"10686",2
"10723",7
"10740",0
"10749",0
"10765",4
"10783",1
"10785",5
"10807",2
"10849",0
"10857",1
"10866",5
"10872",4
"10873",4
"10914",5
"10948",0
"10955",2
"10958",2
"10982",3
"10999",8
"11025",5
"11030",5
"11070",7
"11182",8
"11183",4
"11199",3
"11210",3
"11212",1
"11238",0
"11288",7
"11293",5
"11294",5
"11361",1
"11377",1
"11404",1
"11413",3
"11425",5
"11448",6
"11504",0
"11524",0
"11537",2
"11546",1
"11597",4
"11622",3
"11630",7
"11655",8
"11668",7
"11679",5
"11711",6
"11719",1
"11741",1
"11751",8
"11763",8
"11779",5
"11781",4
"11783",8
"11793",3
"11827",8
"11833",0
"11836",0
"11879",2
"11909",5
"11927",5
"11930",4
"11938",2
"11939",7
"11946",7
"11970",5
"11989",7
"11990",6
"11999",2
"12029",7
"12034",4
"12037",3
"12068",8
"12097",4
"12124",5
"12140",7
"12225",7
"12244",4
"12251",1
"12252",6
"12258",1
"12265",6
"12269",2
"12341",4
"12342",0
"12345",1
"12380",4
"12384",1
"12403",5
"12407",7
"12417",5
"12477",8
"12495",3
"12498",5
"12507",0
"12508",1
"12534",4
"12588",1
"12590",7
"12621",8
"12627",2
"12677",1
"12681",1
"12689",0
"12720",6
"12723",6
"12729",5
"12733",0
"12740",1
"12776",6
"12791",1
"12805",6
"12883",7
"12901",7
"12932",3
"12938",6
"12942",0
"12971",8
"12985",2
"12994",7
"12998",5
"13002",1
"13011",1
"13019",5
"13021",2
"13023",0
"13027",5
"13033",3
"13047",6
"13056",1
"13058",7
"13062",3
"13075",0
"13076",1
"13081",5
"13102",5
"13120",6
"13136",3
"13169",6
"13171",8
"13191",5
"13200",1
"13202",8
"13218",6
"13226",5
"13236",7
"13246",3
"13263",2
"13303",6
"13313",0
"13318",6
"13319",4
"13320",3
"13333",8
"13355",7
"13363",6
"13398",5
"13403",0
"13404",0
"13407",1
"13456",1
"13466",2
"13468",7
"13471",6
"13494",0
"13521",6
"13529",1
"13533",4
"13541",6
"13543",3
"13560",4
"13585",5
"13592",8
"13613",2
"13637",0
"13640",7
"13685",1
"13690",4
"13701",1
"13731",2
"13732",0
"13739",7
"13749",3
"13761",7
"13824",2
"13836",4
"13842",2
"13880",3
"13922",0
"13939",4
"13960",6
"13972",7
"13973",1
"14003",5
"14008",3
"14010",2
"14013",5
"14021",4
"14037",5
"14049",7
"14056",6
"14078",2
"14127",4
"14179",6
"14211",6
"14253",2
"14260",0
"14264",1
"14281",1
"14298",5
"14301",0
"14319",6
"14325",1
"14333",3
"14350",5
"14393",5
"14432",0
"14453",6
"14463",0
"14475",6
"14487",5
"14516",0
"14518",1
"14524",0
"14526",4
"14529",1
"14555",0
"14564",1
"14573",6
"14598",3
"14617",0
"14631",8
"14635",1
"14652",4
"14655",3
"14666",8
"14682",1
"14696",3
"14710",3
"14712",4
"14715",1
"14722",0
"14737",0
"14758",8
"14787",3
"14788",0
"14801",6
"14802",7
"14816",1
"14820",3
"14825",6
"14832",3
"14851",5
"14852",5
"14884",2
"14888",7
"14891",2
"14906",4
"14922",2
"14969",3
"14995",1
"14997",0
"15001",7
"15019",3
"15026",5
"15028",1
"15041",8
"15042",7
"15046",2
"15050",0
"15079",3
"15100",7
"15103",5
"15113",3
"15127",5
"15153",6
"15230",6
"15255",3
"15258",6
"15282",7
"15307",0
"15312",5
"15359",0
"15364",4
"15390",3
"15436",5
"15466",6
"15492",8
"15510",5
"15519",2
"15528",0
"15538",7
"15581",8
"15583",0
"15588",4
"15590",4
"15605",1
"15623",8
"15637",5
"15641",3
"15698",1
"15731",2
"15745",2
"15760",5
"15772",0
"15778",6
"15784",0
"15827",3
"15833",4
"15848",6
"15855",8
"15870",2
"15910",3
"15911",7
"15915",7
"15931",7
"15941",8
"15963",2
"15971",8
"16033",0
"16037",4
"16050",1
"16053",6
"16074",2
"16081",3
"16088",3
"16104",8
"16109",3
"16114",0
"16125",2
"16147",6
"16156",8
"16158",0
"16186",1
"16189",5
"16205",7
"16210",2
"16215",4
"16230",0
"16240",1
"16251",3
"16272",5
"16282",1
"16286",6
"16293",2
"16313",8
"16319",3
"16333",6
"16346",7
"16348",0
"16349",3
"16373",5
"16411",2
"16418",3
"16455",3
"16457",7
"16485",0
"16529",2
"16557",1
"16579",6
"16605",1
"16629",7
"16634",7
"16656",3
"16660",5
"16671",2
"16672",2
"16682",7
"16683",5
"16697",4
"16708",5
"16731",0
"16733",2
"16750",6
"16770",7
"16833",4
"16838",0
"16844",5
"16869",0
"16880",3
"16933",8
"16949",2
"16960",0
"16967",2
"16974",6
"16982",8
"16997",7
"17018",2
"17029",6
"17031",3
"17067",0
"17068",5
"17081",3
"17092",1
"17120",0
"17136",0
"17154",3
"17156",2
"17158",7
"17165",8
"17194",8
"17206",2
"17222",7
"17252",2
"17274",6
"17323",2
"17329",1
"17334",7
"17408",1
"17422",1
"17438",1
"17459",3
"17476",4
"17495",2
"17505",4
"17524",8
"17539",3
"17605",2
"17621",1
"17623",1
"17677",7
"17689",6
"17693",7
"17697",3
"17709",5
"17710",1
"17720",6
"17750",3
"17751",0
"17762",1
"17769",5
"17784",1
"17818",1
"17879",8
"17916",5
"17940",0
"17942",8
"17944",8
"17952",2
"17959",2
"17983",2
"18034",6
"18053",7
"18082",2
"18093",1
"18117",6
"18123",3
"18126",5
"18168",1
"18186",3
"18194",1
"18235",1
"18243",2
"18277",2
"18291",0
"18300",2
"18319",8
"18341",7
"18360",3
"18379",3
"18395",7
"18401",6
"18403",1
"18412",8
"18429",7
"18431",0
"18436",5
"18447",2
"18491",5
"18517",3
"18536",2
"18542",3
"18594",0
"18599",2
"18626",1
"18634",1
"18673",2
"18726",8
"18728",7
"18740",7
"18761",2
"18763",6
"18793",0
"18811",3
"18826",7
"18853",3
"18862",0
"18892",8
"18901",5
"18903",8
"18930",7
"18964",5
"18990",7
"18997",6
"19003",5
"19022",1
"19035",5
"19056",5
"19058",0
"19078",4
"19097",6
"19150",4
"19151",1
"19182",8
"19188",3
"19200",3
"19217",1
"19229",3
"19241",2
"19243",5
"19262",6
"19302",6
"19324",0
"19343",5
"19345",2
"19365",2
"19366",0
"19382",6
"19384",4
"19401",7
"19423",4
"19453",6
"19476",8
"19477",4
"19490",3
"19497",2
"19507",0
"19515",6
"19520",8
"19522",4
"19526",0
"19529",2
"19547",3
"19552",6
"19558",1
"19604",4
"19629",6
"19638",4
"19668",2
"19692",6
"19701",4
"19730",2
"19777",5
"19817",4
"19824",4
"19836",3
"19837",2
"19846",8
"19865",7
"19887",7
"19901",0
"19971",8
"19982",7
"20005",5
"20029",8
"20060",6
"20087",0
"20110",4
"20119",7
"20132",6
"20214",4
"20243",1
"20255",1
"20287",2
"20309",3
"20314",5
"20332",5
"20358",6
"20367",8
"20368",7
"20379",0
"20383",0
"20410",0
"20429",2
"20432",7
"20446",6
"20532",1
"20558",2
"20571",7
"20572",6
"20592",5
"20593",0
"20597",6
"20598",5
"20605",7
"20608",1
"20609",1
"20623",1
"20631",1
"20644",0
"20660",8
"20678",2
"20715",2
"20749",7
"20755",4
"20805",4
"20843",2
"20844",5
"20848",0
"20880",7
"20941",3
"20942",4
"20945",6
"20958",7
"20963",3
"20984",8
"20995",0
"21009",7
"21034",1
"21047",8
"21071",7
"21075",8
"21076",7
"21084",7
"21094",1
"21112",3
"21120",4
"21126",3
"21147",8
"21157",8
"21216",4
"21244",3
"21246",7
"21251",5
"21265",7
"21282",6
"21306",0
"21308",7
"21322",8
"21336",5
"21368",3
"21383",8
"21400",0
"21420",0
"21436",5
"21442",0
"21452",5
"21485",1
"21511",4
"21517",6
"21527",2
"21535",6
"21536",4
"21595",0
"21597",1
"21624",2
"21634",7
"21645",5
"21646",1
"21688",1
"21696",1
"21705",3
"21712",5
"21713",1
"21720",0
"21739",6
"21769",3
"21772",8
"21807",6
"21816",6
"21819",1
"21830",1
"21841",7
"21881",1
"21907",8
"21918",3
"21925",6
"21977",8
"22028",0
"22058",8
"22071",4
"22095",8
"22127",2
"22153",7
"22154",5
"22175",5
"22193",2
"22220",1
"22225",1
"22230",1
"22239",0
"22276",4
"22285",5
"22305",2
"22320",2
"22327",7
"22370",4
"22378",5
"22386",2
"22389",8
"22465",5
"22479",4
"22509",7
"22529",0
"22538",5
"22563",6
"22564",2
"22575",5
"22581",5
"22599",1
"22652",1
"22684",3
"22719",8
"22721",5
"22725",4
"22753",6
"22760",7
"22786",6
"22805",4
"22807",2
"22824",1
"22838",7
"22853",3
"22858",6
"22869",8
"22883",7
"22909",7
"22929",0
"22931",6
"22938",1
"22956",4
"22964",0
"22979",1
"22987",5
"22996",0
"23027",4
"23038",3
"23041",1
"23078",1
"23081",4
"23101",5
"23115",7
"23117",2
"23128",2
"23142",0
"23155",7
"23161",1
"23165",8
"23188",5
"23211",8
"23217",8
"23218",2
"23232",1
"23243",6
"23244",0
"23252",3
"23281",2
"23315",7
"23317",5
"23332",0
"23333",8
"23355",4
"23364",8
"23381",3
"23386",4
"23393",3
"23402",4
"23404",8
"23408",3
"23423",7
"23435",2
"23465",4
"23512",8
"23514",3
"23535",8
"23536",0
"23569",0
"23587",7
"23610",0
"23613",0
"23633",8
"23642",1
"23656",7
"23662",2
"23666",6
"23707",5
"23758",0
"23766",7
"23789",6
"23791",3
"23817",0
"23818",6
"23836",2
"23843",2
"23849",0
"23860",4
"23864",2
"23866",7
"23877",2
"23891",7
"23896",5
"23902",6
"23911",6
"23923",6
"23951",5
"24016",2
"24027",2
"24088",0
"24091",2
"24101",3
"24117",4
"24127",4
"24150",8
"24153",1
"24169",8
"24172",8
"24185",4
"24224",0
"24226",8
"24238",5
"24239",5
"24259",7
"24278",7
"24297",3
"24307",8
"24316",2
"24351",5
"24418",2
"24439",4
"24443",7
"24498",5
"24514",7
"24524",5
"24570",4
"24578",7
"24597",7
"24604",1
"24605",6
"24609",3
"24616",6
"24627",0
"24630",4
"24727",3
"24735",2
"24741",8
"24774",7
"24783",5
"24817",3
"24840",8
"24865",4
"24895",3
"24909",8
"24915",2
"24921",3
"24950",2
"25009",6
"25017",0
"25062",4
"25110",8
"25112",0
"25130",3
"25162",2
"25207",1
"25218",7
"25233",8
"25249",7
"25251",6
"25313",3
"25317",1
"25344",4
"25360",4
"25364",0
"25372",8
"25420",4
"25427",5
"25428",8
"25432",5
"25435",8
"25455",0
"25459",1
"25484",8
"25503",2
"25507",6
"25509",2
"25514",8
"25527",3
"25528",7
"25537",5
"25580",7
"25618",5
"25629",0
"25642",7
"25647",1
"25656",5
"25684",6
"25713",4
"25735",6
"25740",8
"25778",8
"25793",8
"25833",1
"25862",6
"25864",8
"25882",4
"25900",0
"25905",4
"25929",2
"25934",3
"25936",5
"25955",0
"25972",4
"25988",3
"26018",3
"26021",6
"26026",4
"26039",0
"26083",3
"26086",0
"26098",0
"26108",4
"26114",3
"26133",4
"26138",7
"26170",8
"26195",7
"26234",4
"26259",8
"26291",2
"26300",7
"26345",2
"26347",6
"26348",0
"26360",2
"26362",6
"26375",4
"26423",6
"26444",3
"26460",3
"26478",7
"26499",2
"26504",1
"26506",1
"26522",2
"26525",0
"26528",5
"26533",2
"26540",5
"26587",4
"26589",4
"26594",8
"26649",0
"26655",3
"26689",2
"26710",3
"26725",1
"26758",3
"26787",2
"26809",6
"26832",2
"26878",1
"26891",4
"26911",8
"26912",5
"26919",2
"26921",5
"26957",6
"26965",8
"27002",3
"27035",2
"27037",0
"27070",2
"27077",6
"27086",3
"27106",1
"27125",0
"27151",7
"27153",4
"27156",2
"27166",5
"27200",8
"27215",0
"27216",7
"27223",4
"27256",0
"27274",1
"27307",3
"27330",0
"27372",8
"27375",1
"27412",3
"27424",4
"27427",4
"27470",7
"27487",1
"27519",1
"27527",3
"27555",2
"27580",4
"27582",3
"27591",5
"27601",3
"27621",4
"27681",8
"27740",3
"27745",5
"27762",8
"27764",0
"27797",1
"27809",5
"27812",6
"27820",8
"27841",7
"27900",0
"27908",7
"27909",2
"27927",5
"27928",8
"27941",7
"27944",8
"27946",1
"27968",4
"27991",2
"28017",0
"28021",2
"28027",7
"28033",6
"28037",0
"28048",4
"28057",6
"28090",3
"28126",4
"28137",8
"28167",0
"28181",6
"28198",4
"28225",3
"28237",7
"28278",4
"28279",0
"28290",8
"28300",8
"28304",8
"28313",8
"28326",2
"28345",7
"28347",2
"28351",3
"28394",3
"28398",1
"28416",7
"28493",0
"28501",8
"28502",1
"28503",6
"28530",3
"28581",0
"28584",0
"28592",4
"28595",0
"28606",4
"28614",4
"28617",2
"28618",6
"28620",8
"28628",7
"28650",3
"28679",7
"28730",1
"28782",4
"28805",4
"28810",8
"28901",1
"28902",4
"28964",6
"28978",2
"28989",6
"28995",0
"29004",7
"29009",0
"29035",4
"29038",2
"29064",3
"29078",0
"29089",1
"29100",5
"29121",7
"29124",4
"29164",8
"29185",8
"29190",1
"29191",8
"29211",0
"29225",5
"29254",4
"29287",1
"29298",6
"29330",0
"29335",2
"29347",0
"29360",0
"29431",7
"29438",7
"29455",0
"29461",1
"29476",7
"29498",4
"29506",1
"29539",0
"29544",2
"29599",8
"29611",2
"29613",7
"29614",8
"29626",7
"29639",3
"29653",0
"29660",8
"29710",0
"29720",3
"29773",3
"29775",0
"29816",7
"29828",4
"29848",0
"29869",7
"29940",6
"29944",0
"29952",6
"29955",1
"29963",1
"29985",5
"29999",6
"30004",6
"30017",4
"30092",0
"30106",1
"30131",3
"30140",2
"30148",4
"30166",2
"30195",4
"30217",8
"30234",2
"30235",3
"30239",2
"30264",3
"30279",6
"30302",6
"30324",2
"30362",8
"30376",6
"30433",3
"30441",6
"30471",0
"30498",6
"30508",6
"30528",4
"30532",7
"30563",8
"30567",0
"30568",0
"30574",4
"30587",8
"30601",8
"30612",7
"30636",6
"30637",4
"30660",8
"30681",5
"30683",3
"30686",6
"30697",3
"30711",4
"30722",0
"30751",5
"30787",8
"30824",7
"30890",8
"30895",0
"30935",1
"30936",6
"30946",4
"30950",1
"30953",4
"30960",5
"30997",1
"31005",3
"31022",5
"31031",2
"31047",7
"31052",7
"31077",4
"31080",3
"31092",4
"31098",3
"31105",1
"31134",6
"31145",1
"31188",8
"31227",6
"31250",3
"31264",4
"31288",4
"31302",4
"31323",0
"31326",0
"31347",6
"31376",1
"31394",2
"31406",8
"31419",2
"31427",5
"31465",3
"31566",2
"31604",7
"31620",5
"31681",2
"31698",8
"31699",0
"31700",1
"31720",5
"31721",6
"31766",2
"31777",8
"31789",0
"31794",8
"31812",8
"31848",4
"31881",5
"31891",0
"31896",6
"31922",7
"31924",1
"31929",3
"31969",6
"31987",1
"31991",8
"32020",8
"32032",0
"32038",5
"32056",4
"32067",1
"32086",8
"32096",8
"32122",4
"32127",3
"32128",8
"32132",2
"32147",1
"32166",4
"32169",5
"32191",2
"32213",7
"32219",1
"32234",6
"32247",8
"32262",5
"32269",7
"32277",2
"32283",4
"32308",8
"32329",3
"32341",6
"32368",6
"32376",6
"32383",1
"32396",7
"32410",1
"32411",1
"32428",2
"32443",3
"32461",0
"32467",6
"32492",0
"32519",0
"32541",7
"32558",2
"32576",5
"32597",6
"32610",4
"32625",7
"32641",3
"32660",2
"32672",6
"32690",6
"32713",7
"32715",8
"32745",8
"32747",4
"32824",4
"32836",1
"32840",0
"32860",7
"32876",4
"32878",4
"32904",3
"32919",3
"32944",1
"32987",2
"32993",4
"33007",3
"33014",5
"33033",3
"33073",4
"33076",5
"33113",7
"33161",6
"33165",8
"33177",0
"33193",1
"33223",8
"33227",8
"33246",5
"33254",6
"33262",6
"33288",1
"33293",7
"33324",3
"33340",7
"33395",4
"33399",5
"33406",5
"33420",6
"33436",5
"33441",2
"33574",7
"33576",0
"33604",8
"33614",2
"33622",8
"33627",3
"33636",5
"33654",1
"33660",2
"33722",2
"33729",8
"33758",3
"33768",5
"33770",8
"33810",4
"33811",8
"33816",2
"33836",7
"33855",4
"33865",5
"33892",5
"33905",1
"33908",6
"33931",5
"33952",8
"33962",4
"33980",6
"33981",3
"33983",4
"34002",8
"34017",6
"34040",5
"34043",2
"34045",4
"34063",0
"34070",4
"34077",3
"34093",3
"34100",5
"34110",5
"34112",0
"34115",4
"34148",4
"34154",1
"34162",1
"34174",6
"34188",1
"34210",7
"34211",7
"34243",8
"34245",8
"34263",7
"34302",3
"34314",8
"34323",2
"34354",6
"34403",3
"34406",6
"34411",1
"34453",1
"34461",4
"34494",3
"34495",8
"34553",2
"34563",3
"34574",2
"34585",2
"34592",8
"34598",7
"34613",0
"34617",4
"34636",4
"34642",6
"34644",0
"34661",2
"34735",5
"34742",7
"34781",3
"34789",0
"34795",3
"34806",3
"34809",2
"34810",2
"34820",5
"34829",3
"34862",6
"34864",2
"34879",3
"34895",2
"34956",0
"34967",2
"34975",2
"34991",8
"35011",1
"35041",2
"35069",4
"35091",6
"35095",3
"35103",2
"35115",5
"35127",3
"35138",8
"35160",3
"35174",6
"35182",2
"35223",1
"35260",0
"35372",6
"35373",0
"35378",4
"35400",4
"35407",0
"35410",8
"35433",7
"35456",3
"35457",1
"35465",6
"35481",8
"35483",8
"35510",0
"35525",2
"35574",0
"35593",1
"35616",0
"35626",5
"35646",7
"35680",0
"35712",3
"35715",2
"35726",8
"35744",3
"35759",4
"35767",8
"35771",7
"35790",4
"35796",4
"35799",6
"35806",3
"35808",2
"35825",7
"35839",6
"35872",7
"35873",4
"35876",7
"35886",8
"35902",2
"35915",0
"35942",0
"35989",7
"36133",2
"36139",6
"36164",4
"36168",5
"36173",7
"36183",3
"36186",0
"36228",1
"36240",4
"36250",8
"36258",0
"36272",4
"36274",0
"36280",5
"36337",8
"36419",6
"36421",6
"36433",0
"36445",3
"36457",7
"36459",5
"36490",3
"36492",3
"36511",8
"36525",6
"36545",0
"36565",8
"36570",0
"36583",8
"36584",4
"36597",7
"36611",7
"36615",8
"36631",0
"36648",3
"36652",6
"36685",4
"36692",1
"36703",7
"36708",6
"36765",3
"36766",8
"36790",2
"36797",3
"36805",5
"36824",3
"36831",6
"36872",7
"36894",4
"36904",0
"36915",2
"36964",7
"36978",5
"36988",6
"37000",5
"37014",4
"37016",1
"37019",1
"37026",1
"37036",4
"37040",3
"37058",3
"37063",1
"37068",0
"37079",7
"37098",6
"37108",4
"37111",5
"37137",1
"37169",6
"37177",7
"37204",3
"37210",1
"37229",1
"37246",0
"37251",5
"37259",8
"37263",7
"37273",0
"37276",8
"37328",1
"37331",3
"37355",5
"37359",1
"37366",5
"37388",0
"37389",1
"37427",4
"37431",5
"37437",3
"37443",6
"37485",6
"37519",0
"37534",8
"37539",4
"37553",6
"37570",8
"37619",0
"37644",5
"37668",0
"37686",2
"37698",3
"37731",7
"37735",3
"37739",0
"37745",8
"37758",3
"37785",6
"37801",3
"37913",4
"37915",2
"37946",1
"37971",3
"37998",7
"38002",8
"38020",6
"38038",7
"38046",3
"38065",2
"38075",2
"38083",5
"38085",0
"38112",4
"38139",6
"38212",0
"38215",5
"38233",6
"38269",4
"38317",2
"38331",0
"38371",1
"38399",1
"38429",8
"38443",8
"38451",1
"38489",2
"38495",8
"38530",6
"38533",3
"38537",1
"38558",8
"38580",2
"38588",4
"38594",7
"38624",1
"38640",3
"38641",4
"38658",7
"38670",8
"38720",0
"38724",6
"38740",4
"38758",6
"38782",4
"38791",5
"38844",4
"38864",7
"38877",5
"38919",6
"38926",7
"38951",0
"38987",5
"38993",8
"38998",5
"39007",6
"39022",6
"39028",1
"39071",2
"39077",7
"39080",7
"39090",5
"39105",0
"39134",4
"39152",1
"39200",4
"39226",3
"39242",8
"39255",4
"39287",3
"39299",0
"39307",0
"39310",0
"39319",8
"39326",1
"39390",2
"39404",1
"39410",7
"39411",5
"39505",5
"39510",2
"39519",2
"39520",0
"39571",7
"39579",4
"39585",0
"39613",6
"39618",0
"39622",1
"39627",0
"39631",6
"39665",6
"39670",1
"39688",6
"39692",8
"39712",4
"39726",1
"39739",3
"39740",7
"39743",7
"39745",8
"39752",3
"39753",1
"39756",1
"39758",4
"39759",8
"39768",4
"39769",7
"39771",5
"39829",3
"39839",8
"39849",7
"39864",0
"39898",6
"39914",3
"39933",5
"39961",1
"39976",6
"39979",2
"39981",5
"39995",7
"40005",7
"40012",0
"40020",2
"40065",3
"40109",0
"40129",8
"40182",2
"40216",8
"40240",4
"40241",0
"40268",5
"40305",4
"40311",8
"40362",2
"40379",4
"40383",1
"40389",7
"40427",0
"40428",3
"40440",1
"40449",2
"40459",6
"40474",5
"40515",5
"40531",2
"40549",0
"40551",5
"40552",1
"40554",6
"40556",0
"40608",3
"40622",7
"40625",4
"40630",2
"40631",8
"40641",1
"40665",1
"40669",3
"40683",5
"40739",0
"40745",4
"40768",7
"40785",0
"40814",6
"40826",6
"40839",0
"40880",2
"40891",1
"40906",5
"40907",6
"40937",2
"40940",0
"40968",0
"40980",1
"40983",8
"41035",8
"41109",7
"41120",5
"41155",3
"41169",4
"41195",8
"41217",4
"41232",1
"41235",6
"41245",7
"41255",8
"41290",0
"41336",0
"41338",0
"41339",1
"41344",7
"41356",3
"41374",7
"41379",0
"41437",4
"41442",3
"41463",8
"41482",2
"41483",3
"41490",3
"41510",8
